"Product Name","Category","Tag","Product Information","Origin","Ingredients","Nutritional Content","Storage","Other Information","Buy Two Get","Price","Price Per Item","Compare Price","Status","Weight","Discount Price","Subcategory","Sub-subcategory"
"Blåbär 125g Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","24,95","","200Kr/kg","In Stock","125g","","Frukt",""
"Björnbär 125g Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","55,95","","447,60 kr/kg","In Stock","125g","","Frukt",""
"Citron Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","6,90","","34,50 kr/kg","In Stock","200g","","Frukt",""
"Avocado Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","15,90","","88,33 kr/kg","In Stock","180g","","Frukt",""
"Banan Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","22,90","","22,90 kr/kg","In Stock","1kg","","Frukt",""
"Lime Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","5,90","","65,56 kr/kg","In Stock","90g","","Frukt",""
"Mango Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","37,95","","79,06 kr/kg","In Stock","480g","","Frukt",""
"Ananas Extra Sweet Klass","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","29,90","","31,47 kr/kg","In Stock","950g","","Frukt",""
"Kiwi i korg Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","19,95","","24,94 kr/kg","In Stock","800g","","Frukt",""
"Kiwi Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","8,90","","71,20 kr/kg","In Stock","125g","","Frukt",""
